title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	tissue	strain	age (years)	gender	genetic condition	diet
M1208	GSM2132872	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	12	Male	Wild Type	standard
M1209	GSM2132873	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	12	Male	Wild Type	standard
M1210	GSM2132874	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	12	Male	Wild Type	standard
M1601	GSM2132875	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	16	Male	Wild Type	standard
M1602	GSM2132876	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	16	Male	Wild Type	standard
M1603	GSM2132877	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	16	Male	Wild Type	standard
M1605	GSM2132878	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	16	Male	Wild Type	standard
M1606	GSM2132879	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	16	Male	Wild Type	standard
M1607	GSM2132880	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	16	Male	Wild Type	standard
M1608	GSM2132881	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	16	Male	Wild Type	standard
M1609	GSM2132882	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	16	Male	Wild Type	standard
M1610	GSM2132883	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	16	Male	Wild Type	standard
M2001	GSM2132884	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	20	Male	Wild Type	standard
M2003	GSM2132885	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	20	Male	Wild Type	standard
M2004	GSM2132886	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	20	Male	Wild Type	standard
M2005	GSM2132887	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	20	Male	Wild Type	standard
M2006	GSM2132888	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	20	Male	Wild Type	standard
M2007	GSM2132889	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	20	Male	Wild Type	standard
M2008	GSM2132890	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	20	Male	Wild Type	standard
M2009	GSM2132891	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	20	Male	Wild Type	standard
M2010	GSM2132892	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	20	Male	Wild Type	standard
M2201	GSM2132893	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard
M2202	GSM2132894	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard
M2203	GSM2132895	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard
M2204	GSM2132896	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard
M2205	GSM2132897	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard
M2206	GSM2132898	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard
M2208	GSM2132899	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard
M2209	GSM2132900	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard
M2210	GSM2132901	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	22	Male	Wild Type	standard
M2401	GSM2132902	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard
M2402	GSM2132903	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard
M2403	GSM2132904	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard
M2404	GSM2132905	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard
M2405	GSM2132906	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard
M2407	GSM2132907	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard
M2408	GSM2132908	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard
M2409	GSM2132909	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard
M2411	GSM2132910	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	24	Male	Wild Type	standard
M2601	GSM2132911	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	26	Male	Wild Type	standard
M2602	GSM2132912	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	26	Male	Wild Type	standard
M2603	GSM2132913	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	26	Male	Wild Type	standard
M2604	GSM2132914	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	26	Male	Wild Type	standard
M2605	GSM2132915	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	26	Male	Wild Type	standard
M2606	GSM2132916	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	26	Male	Wild Type	standard
M2607	GSM2132917	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	26	Male	Wild Type	standard
M2608	GSM2132918	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	26	Male	Wild Type	standard
M2609	GSM2132919	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	26	Male	Wild Type	standard
M2610	GSM2132920	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	26	Male	Wild Type	standard
M2801	GSM2132921	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	28	Male	Wild Type	standard
M2802	GSM2132922	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	28	Male	Wild Type	standard
M2804	GSM2132923	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	28	Male	Wild Type	standard
M2805	GSM2132924	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	28	Male	Wild Type	standard
M2806	GSM2132925	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	28	Male	Wild Type	standard
M2807	GSM2132926	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	28	Male	Wild Type	standard
M2808	GSM2132927	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	28	Male	Wild Type	standard
M2809	GSM2132928	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	28	Male	Wild Type	standard
M2810	GSM2132929	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	28	Male	Wild Type	standard
M3001	GSM2132930	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	30	Male	Wild Type	standard
M3002	GSM2132931	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	30	Male	Wild Type	standard
M3003	GSM2132932	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	30	Male	Wild Type	standard
M3004	GSM2132933	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	30	Male	Wild Type	standard
M3005	GSM2132934	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	30	Male	Wild Type	standard
M3006	GSM2132935	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	30	Male	Wild Type	standard
M3007	GSM2132936	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	30	Male	Wild Type	standard
M3009	GSM2132937	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	30	Male	Wild Type	standard
M3010	GSM2132938	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	30	Male	Wild Type	standard
M3204	GSM2132939	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	32	Male	Wild Type	standard
M3205	GSM2132940	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	32	Male	Wild Type	standard
M3206	GSM2132941	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	32	Male	Wild Type	standard
M3207	GSM2132942	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	32	Male	Wild Type	standard
M3208	GSM2132943	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	32	Male	Wild Type	standard
M3209	GSM2132944	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	32	Male	Wild Type	standard
M3210	GSM2132945	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	32	Male	Wild Type	standard
M3401	GSM2132946	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	34	Male	Wild Type	standard
M3402	GSM2132947	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	34	Male	Wild Type	standard
M3403	GSM2132948	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	34	Male	Wild Type	standard
M3404	GSM2132949	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	34	Male	Wild Type	standard
M3405	GSM2132950	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	34	Male	Wild Type	standard
M3406	GSM2132951	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	34	Male	Wild Type	standard
M3408	GSM2132952	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	34	Male	Wild Type	standard
M3409	GSM2132953	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	34	Male	Wild Type	standard
M3410	GSM2132954	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	34	Male	Wild Type	standard
M3501	GSM2132955	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	35	Male	Wild Type	standard
M3501R	GSM2132956	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	35	Male	Wild Type	standard
M3502	GSM2132957	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	35	Male	Wild Type	standard
M3502R	GSM2132958	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	35	Male	Wild Type	standard
M3503	GSM2132959	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	35	Male	Wild Type	standard
M3503R	GSM2132960	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	35	Male	Wild Type	standard
